Time,5 μM SAM,10 μM SAM,20 μM SAM,50 μM SAM,100 μM SAM,200 μM SAM
1.21101,0.051446667,0.054903333,0.071436667,0.075593333,0.086046667,0.077933333
1.21983,0.05647,0.05929,0.082093333,0.084236667,0.089256667,0.08914
1.2287,0.055656667,0.063036667,0.074883333,0.076266667,0.092513333,0.080496667
1.23763,0.054083333,0.058693333,0.07863,0.07512,0.08576,0.080643333
1.24662,0.053696667,0.06501,0.081243333,0.084483333,0.089753333,0.085436667
1.25569,0.053043333,0.061543333,0.076556667,0.074686667,0.083773333,0.080076667
1.2648,0.053136667,0.065263333,0.075503333,0.080746667,0.088133333,0.078733333
1.27399,0.062083333,0.067913333,0.078303333,0.082943333,0.09167,0.08154
1.28324,0.054673333,0.060686667,0.08088,0.082016667,0.084123333,0.082036667
1.29254,0.053283333,0.062246667,0.07527,0.081696667,0.084413333,0.080016667
1.30192,0.047586667,0.05474,0.071206667,0.070186667,0.08178,0.07582
1.31136,0.05741,0.059526667,0.075123333,0.080886667,0.087906667,0.073983333
1.32086,0.05479,0.058856667,0.082733333,0.07923,0.091386667,0.08317
1.33044,0.0521,0.060173333,0.073816667,0.075336667,0.087306667,0.07966
1.34008,0.04907,0.05866,0.07551,0.07548,0.083763333,0.081296667
1.34977,0.061293333,0.055883333,0.078433333,0.08015,0.088833333,0.08321
1.35955,0.052276667,0.059663333,0.07965,0.080536667,0.087016667,0.08255
1.36939,0.057656667,0.058893333,0.074023333,0.08241,0.08679,0.085323333
1.3793,0.04705,0.055113333,0.067333333,0.071573333,0.083123333,0.077076667
1.38927,0.053413333,0.059406667,0.074376667,0.077803333,0.082846667,0.076466667
1.39933,0.051533333,0.058986667,0.071626667,0.07612,0.082163333,0.07654
1.40944,0.052133333,0.06076,0.077206667,0.079926667,0.088,0.077576667
1.41963,0.051436667,0.053693333,0.07666,0.079333333,0.08683,0.07771
1.42988,0.055053333,0.05634,0.077533333,0.080706667,0.08553,0.080906667
1.44021,0.05007,0.057576667,0.07585,0.071803333,0.08161,0.073826667
1.4506,0.05047,0.058693333,0.07352,0.073753333,0.08777,0.077613333
1.46107,0.054613333,0.063966667,0.074363333,0.079313333,0.088646667,0.080243333
1.47162,0.049963333,0.05451,0.07491,0.074633333,0.086443333,0.077823333
1.48224,0.04732,0.049283333,0.06878,0.076403333,0.081793333,0.074493333
